"날짜","시간","측정소명","수온","pH","용존산소","총질소","총인","총유기탄소","페놀","시안"
"20250802","20:00","탄천","31.1","7.3","8.1","3.725","0.100","4.4","0.000","0.000"
"20250802","20:00","중랑천","30.5","7.9","10.1","4.450","0.105","4.5","0.000","0.000"
"20250802","20:00","안양천","32.4","7.6","7.9","6.780","0.135","5.1","0.000","0.000"
"20250802","20:00","선유","29.9","7.5","8.0","4.350","0.073","2.7","0.000","0.000"
"20250802","19:00","탄천","31.5","7.5","8.2","3.750","0.105","4.8","0.000","0.000"
"20250802","19:00","중랑천","30.3","7.8","10.2","4.450","0.105","4.2","0.000","0.000"
"20250802","19:00","안양천","33.0","7.8","7.8","7.540","0.145","5.1","0.000","0.000"
"20250802","19:00","선유","30.2","7.5","8.0","4.320","0.064","2.7","0.000","0.000"
"20250802","18:00","탄천","31.7","7.6","8.2","3.600","0.105","4.7","0.000","0.000"
"20250802","18:00","중랑천","30.0","7.8","10.3","4.375","0.105","3.8","0.000","0.000"
"20250802","18:00","안양천","33.9","7.8","7.5","7.540","0.150","5.0","0.000","0.000"
"20250802","18:00","선유","30.5","7.5","8.0","3.920","0.052","2.5","0.000","0.000"
"20250802","17:00","탄천","31.7","7.7","8.2","3.525","0.115","4.3","0.000","0.000"
"20250802","17:00","중랑천","29.6","7.7","10.3","4.250","0.100","4.0","0.000","0.000"
"20250802","17:00","안양천","33.9","7.8","7.5","9.130","0.150","5.1","0.000","0.000"
"20250802","17:00","선유","30.4","7.5","8.0","3.800","0.073","2.9","0.000","0.000"
"20250802","16:00","탄천","31.7","7.7","8.3","3.550","0.115","5.0","0.000","0.000"
"20250802","16:00","중랑천","29.2","7.6","10.3","4.275","0.100","3.5","0.000","0.000"
"20250802","16:00","안양천","34.2","7.7","7.5","8.100","0.155","5.0","0.000","0.000"
"20250802","16:00","선유","30.1","7.4","8.1","4.490","0.083","2.5","0.000","0.000"
"20250802","15:00","탄천","31.4","7.7","8.3","3.500","0.120","4.9","0.000","0.000"
"20250802","15:00","중랑천","28.9","7.4","10.2","4.100","0.100","3.7","0.000","0.000"
"20250802","15:00","안양천","33.2","7.5","7.7","8.500","0.225","5.3","0.000","0.000"
"20250802","15:00","선유","30.2","7.4","7.9","4.490","0.083","2.4","0.000","0.000"
"20250802","14:00","탄천","31.1","7.6","8.4","3.450","0.120","4.5","0.000","0.000"
"20250802","14:00","중랑천","28.5","7.2","9.9","4.150","0.100","3.2","0.000","0.000"
"20250802","14:00","안양천","32.3","7.3","8.0","8.360","0.160","5.2","0.000","0.000"
"20250802","14:00","선유","30.4","7.4","8.0","4.380","0.085","2.7","0.000","0.000"
"20250802","13:00","탄천","30.6","7.6","8.4","3.375","0.115","5.0","0.000","0.000"
"20250802","13:00","중랑천","28.3","7.2","9.7","4.025","0.100","3.5","0.000","0.000"
"20250802","13:00","안양천","31.2","7.1","8.3","8.960","0.195","5.5","0.000","0.000"
"20250802","13:00","선유","30.7","7.4","8.0","4.420","0.058","2.8","0.000","0.000"
"20250802","12:00","탄천","29.8","7.4","8.5","3.150","0.085","4.2","0.000","0.000"
